Share Names,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,Deliverable Qty,% Dly Qt to Traded Qty
Share1,15-Jan-16,1435.8,1444.2,1470,1422,1429,1431.65,1450.39,257237,373094242.4,93845,36.48
Share1,18-Jan-16,1431.65,1421,1421.05,1332.25,1339,1344.6,1365.81,635080,867397002.7,442420,69.66
Share1,19-Jan-16,1344.6,1355,1375,1281,1334,1330.4,1330.21,467691,622125071,242121,51.77
Share1,20-Jan-16,1330.4,1320,1357.1,1301,1323,1322.8,1329.64,332152,441642317.2,198566,59.78
Share1,21-Jan-16,1322.8,1339,1375,1338,1370,1368.6,1358.22,197466,268201973.2,85283,43.19
Share1,22-Jan-16,1368.6,1385,1399.8,1315.5,1366.05,1366.8,1365.42,166387,227187458.3,49819,29.94
Share1,25-Jan-16,1366.8,1373.8,1377.8,1350,1357,1356.85,1357.97,120355,163438705.3,77925,64.75
Share1,27-Jan-16,1356.85,1364.7,1364.7,1331.05,1334.9,1339.5,1343.89,90193,121209373.2,48841,54.15
Share1,28-Jan-16,1339.5,1334,1362,1330,1349.8,1350.1,1348.84,116177,156704395.5,75673,65.14
Share1,29-Jan-16,1350.1,1343,1371,1343,1352,1358.8,1358.48,136274,185126156.9,84724,62.17
Share1,1-Feb-16,1358.8,1361,1384.4,1342.6,1373.2,1373.45,1361.39,145523,198113071.1,92800,63.77
Share1,2-Feb-16,1373.45,1382.8,1430.9,1368.8,1373.3,1372.7,1400.44,141659,198385615.9,48143,33.99
Share1,3-Feb-16,1372.7,1361,1387.6,1355.5,1372.2,1373.3,1370.59,78557,107669394.6,47086,59.94
Share1,4-Feb-16,1373.3,1380.2,1394,1339,1341,1347.5,1357.6,127453,173030363.8,93745,73.55
Share1,5-Feb-16,1347.5,1345,1350.5,1330,1338,1338.05,1340.8,31085,41678691.05,11943,38.42
Share1,8-Feb-16,1338.05,1345,1354.75,1316.2,1318.6,1323.35,1337.86,38022,50867951,16712,43.95
Share1,9-Feb-16,1323.35,1310,1344.4,1300,1339.55,1338.4,1328.8,42425,56374239.6,21217,50.01
Share1,10-Feb-16,1338.4,1337.9,1340,1290,1323,1320.9,1319.49,50038,66024826.75,29565,59.09
Share1,11-Feb-16,1320.9,1320,1328,1252.6,1290,1275.8,1286.41,123980,159488958.2,99168,79.99
Share1,12-Feb-16,1275.8,1276.05,1389.75,1255,1325,1319.75,1326.03,518016,686904979.3,165279,31.91
Share1,15-Feb-16,1319.75,1359.5,1359.5,1292.05,1318,1314.95,1318.88,130223,171748002,54274,41.68
Share1,16-Feb-16,1314.95,1320,1333,1291.35,1316,1309.6,1311.23,85016,111475861.2,44365,52.18
Share1,17-Feb-16,1309.6,1312,1327.25,1286,1320,1317.9,1302.72,143402,186812885,111616,77.83
Share1,18-Feb-16,1317.9,1315.5,1334.25,1302.2,1306.45,1308.6,1313.86,46411,60977576.75,26353,56.78
Share1,19-Feb-16,1308.6,1305,1323,1295,1315,1310.35,1310.27,75666,99142714.2,61090,80.74
Share1,22-Feb-16,1310.35,1310,1316.95,1270,1277.15,1281.6,1287.4,71363,91872597.4,38926,54.55
Share1,23-Feb-16,1281.6,1287.1,1320,1282,1308.5,1310,1305.18,124252,162171119.2,80199,64.55
Share1,24-Feb-16,1310,1305,1307.9,1271,1273.05,1279.1,1283.44,50434,64728772.15,27906,55.33
Share1,25-Feb-16,1279.1,1282.3,1285,1260,1260,1272.15,1275.65,30759,39237755.65,19507,63.42
Share1,26-Feb-16,1272.15,1282,1289.9,1227,1273,1279.55,1269.33,41075,52137607.65,18624,45.34
Share1,29-Feb-16,1279.55,1279.8,1280,1252.55,1264.2,1264.65,1262.31,20747,26189114.85,8658,41.73
Share1,1-Mar-16,1264.65,1267.15,1321.45,1261.15,1311.4,1315.2,1288.83,61308,79015759.95,38291,62.46
Share1,2-Mar-16,1315.2,1324,1327.1,1296.45,1304.05,1301.1,1306.77,37130,48520414.9,18140,48.86
Share1,3-Mar-16,1301.1,1312.1,1329.9,1294.05,1300,1307.15,1314.23,127326,167335550.6,89837,70.56
Share1,4-Mar-16,1307.15,1310,1347,1302.85,1313,1311.3,1324.53,55849,73973757.95,23098,41.36
Share1,8-Mar-16,1311.3,1345,1379,1325,1350,1342.6,1349.71,119691,161547555.1,50035,41.8
Share1,9-Mar-16,1342.6,1345,1355,1326,1345.25,1345.75,1341.83,40059,53752385.55,16278,40.64
Share1,10-Mar-16,1345.75,1358,1359,1341,1351.75,1348.2,1348.66,30565,41221721.05,17255,56.45
Share1,11-Mar-16,1348.2,1341,1372,1339.9,1372,1367.2,1358.89,54502,74062049.35,32115,58.92
Share1,14-Mar-16,1367.2,1350,1366.85,1318.3,1355,1354,1348.03,93659,126254942.7,62116,66.32
Share1,15-Mar-16,1354,1354,1369.8,1345.05,1348.5,1356.2,1360.62,30214,41109923.5,14199,46.99
Share1,16-Mar-16,1356.2,1365,1365,1344,1353,1356.25,1352.26,22480,30398762.25,12039,53.55
Share1,17-Mar-16,1356.25,1365,1389.7,1336.6,1350.05,1350.85,1362.09,46550,63405288.1,17041,36.61
Share1,18-Mar-16,1350.85,1355,1385,1326.3,1385,1374.95,1363.13,105456,143750127.4,58965,55.91
Share1,21-Mar-16,1374.95,1386.85,1388,1345,1347.3,1350.3,1356.23,27507,37305711.9,17416,63.31
Share1,22-Mar-16,1350.3,1353,1370,1340.9,1354.7,1362.5,1358.87,67466,91677849.8,46574,69.03
Share1,23-Mar-16,1362.5,1352,1366.95,1349,1356,1355.8,1354.03,61753,83615169.9,49412,80.02
Share1,28-Mar-16,1355.8,1360,1393,1352.5,1382,1387.3,1377.29,92882,127925004.1,52416,56.43
Share1,29-Mar-16,1387.3,1394.5,1418,1345.85,1417.9,1410.35,1385.45,226373,313629525.9,161754,71.45
Share1,30-Mar-16,1410.35,1418,1421,1365.1,1368,1371.1,1381.04,68085,94028352.4,37657,55.31
Share1,31-Mar-16,1371.1,1377,1381,1350,1355,1356.45,1357.03,57439,77946595.5,38532,67.08
Share1,1-Apr-16,1356.45,1282,1335,1270,1319,1327.55,1311.51,288351,378173845.5,57547,19.96
Share1,4-Apr-16,1327.55,1334,1369.55,1298,1350,1355.15,1337.33,168161,224887334.8,32406,19.27
Share1,5-Apr-16,1355.15,1351,1365.85,1325.05,1328.5,1333.4,1342.14,28090,37700825.6,12211,43.47
Share1,6-Apr-16,1333.4,1332,1354,1309,1314,1313.4,1329.24,40140,53355641.3,19421,48.38
Share1,7-Apr-16,1313.4,1328.9,1341.9,1317.1,1340,1337.8,1327.34,74984,99529466.8,59540,79.4
Share1,8-Apr-16,1337.8,1336.5,1356.45,1330.1,1340,1340.9,1344.49,20874,28064950.6,4759,22.8
Share1,11-Apr-16,1340.9,1352,1352,1324.4,1326,1329.55,1334.38,21031,28063353.5,6396,30.41
Share1,12-Apr-16,1329.55,1333,1342.95,1328.2,1330,1333.9,1336.75,9640,12886223.95,3549,36.82
Share1,13-Apr-16,1333.9,1335.2,1350,1335,1335.25,1339,1342.09,14050,18856307.45,6244,44.44
Share1,18-Apr-16,1339,1266,1287,1236.4,1275,1276.8,1265.84,319467,404392681.4,113822,35.63
Share1,20-Apr-16,1276.8,1281,1296.9,1255,1267,1273.1,1282.33,66906,85795285.85,30394,45.43
Share1,21-Apr-16,1273.1,1293,1294.4,1209.4,1243,1242.05,1250.7,294279,368054710.6,264130,89.75
Share1,22-Apr-16,1242.05,1244.4,1254.95,1201.25,1234,1233.8,1239.01,32915,40781941.2,15908,48.33
Share1,25-Apr-16,1233.8,1234.15,1247.95,1221,1223,1226.7,1232.88,34850,42965924.05,21938,62.95
Share1,26-Apr-16,1226.7,1226,1230,1205.05,1216.1,1221.8,1220.8,42982,52472615.45,24158,56.2
Share1,27-Apr-16,1221.8,1228,1230,1194,1212.95,1211.45,1209.06,177077,214095905,139988,79.05
Share1,28-Apr-16,1211.45,1219.8,1219.8,1190,1198,1192.1,1198.25,74937,89793288.05,43465,58
Share1,29-Apr-16,1192.1,1193,1208.95,1181,1185,1190.95,1195.71,42594,50929984.5,22229,52.19
Share1,2-May-16,1190.95,1152.5,1282.8,1152.5,1246,1249.3,1242.89,174739,217181176.1,60244,34.48
Share1,3-May-16,1249.3,1259.8,1259.8,1221.2,1229.75,1228.5,1238.85,29703,36797673.9,9849,33.16
Share1,4-May-16,1228.5,1215,1246,1215,1220,1225.45,1232.28,24464,30146427,10213,41.75
Share1,5-May-16,1225.45,1215,1250,1215,1235,1242.55,1239.99,42144,52258251.55,24585,58.34
Share1,6-May-16,1242.55,1240.5,1257.7,1235,1249,1245.2,1245.81,27750,34571233,22160,79.86
Share1,9-May-16,1245.2,1241,1253,1232.4,1252,1247.75,1245.59,30809,38375427.7,18854,61.2
Share1,10-May-16,1247.75,1248,1248.4,1225,1230,1227.25,1234.37,18824,23235745.4,11724,62.28
Share1,11-May-16,1227.25,1229,1246,1200,1202.25,1204.5,1219.58,54988,67062151.5,28625,52.06
Share1,12-May-16,1204.5,1214.8,1219.8,1191,1200,1196.85,1201.64,42346,50884742.3,24871,58.73
Share1,13-May-16,1196.85,1182,1208,1182,1188,1186.45,1192.59,27977,33365026.75,18540,66.27
Share1,16-May-16,1186.45,1195,1210,1190.05,1198,1194.65,1198.69,24827,29759841.8,14227,57.3
Share1,17-May-16,1194.65,1194,1206.4,1184,1190,1192.75,1195.85,26891,32157498.9,17089,63.55
Share1,18-May-16,1192.75,1190,1225.9,1190,1225,1220.8,1211.87,43608,52847125.7,27019,61.96
Share1,19-May-16,1220.8,1220,1235,1210,1230,1227.05,1221.59,25302,30908756.15,15650,61.85
Share1,20-May-16,1227.05,1220.05,1240,1220.05,1237.8,1233.15,1231.46,42457,52284024.45,30482,71.79
Share1,23-May-16,1233.15,1243,1258,1236,1247,1252.7,1251.06,94824,118630144.9,72064,76
Share1,24-May-16,1252.7,1250,1251.8,1216.15,1226,1225.8,1226.81,41053,50364060.45,29664,72.26
Share1,25-May-16,1225.8,1230.5,1248,1220.1,1233,1234.7,1235.1,34310,42376420.4,23262,67.8
Share1,26-May-16,1234.7,1232,1265.05,1225.25,1251.1,1258.7,1247.99,66294,82734178.2,51658,77.92
Share1,27-May-16,1258.7,1265,1265,1241.1,1247.25,1248.9,1253.13,92226,115571038.4,71761,77.81
Share1,30-May-16,1248.9,1220,1291.1,1201,1277.85,1276.8,1252.44,85318,106855575,52318,61.32
Share1,31-May-16,1276.8,1268,1275,1245,1262.1,1263.4,1259.23,22541,28384345.9,11935,52.95
Share1,1-Jun-16,1263.4,1264,1292,1258,1286.9,1288.05,1287.06,69058,88881842.8,50388,72.96
Share1,2-Jun-16,1288.05,1278.1,1313.65,1278.1,1309,1305.95,1297.7,72275,93791482.45,51660,71.48
Share1,3-Jun-16,1305.95,1310,1365,1310,1358.9,1358.95,1346.52,183594,247212805.6,120329,65.54
Share1,6-Jun-16,1358.95,1365,1386,1338.5,1367,1365.1,1358.04,72141,97970554.05,50797,70.41
Share1,7-Jun-16,1365.1,1374,1423.75,1331.1,1350.1,1360.25,1367.46,385335,526929490.7,113498,29.45
Share1,8-Jun-16,1360.25,1364,1412.5,1345.45,1403,1402.45,1383.48,88297,122157221.5,45948,52.04
Share1,9-Jun-16,1402.45,1367.55,1409.75,1360.1,1379,1380.85,1384.23,117004,161960442.6,56353,48.16
Share1,10-Jun-16,1380.85,1377,1400,1367.1,1392,1389.9,1389.14,97552,135513167.5,65972,67.63
Share1,13-Jun-16,1389.9,1381.65,1391,1370,1390,1389.7,1387.28,74249,103003794.7,58236,78.43
Share1,14-Jun-16,1389.7,1375.15,1388.2,1352.3,1367,1367.7,1370.94,32167,44098965.35,18523,57.58
Share1,15-Jun-16,1367.7,1365.05,1392,1357.55,1381.5,1389.4,1382.2,51899,71734933.5,31808,61.29
Share1,16-Jun-16,1389.4,1352.45,1393,1352.45,1388.95,1380.95,1384.69,62355,86342527.1,37839,60.68
Share1,17-Jun-16,1380.95,1385,1415,1370.4,1382.85,1385.15,1389.9,569556,791627669.8,457868,80.39
Share1,20-Jun-16,1385.15,1381.8,1392,1363.15,1378.1,1385.05,1381.02,52698,72776993.55,40589,77.02
Share1,21-Jun-16,1385.05,1390,1390,1364.1,1366.5,1369.35,1375.75,14105,19404888.2,6825,48.39
Share1,22-Jun-16,1369.35,1369.5,1392.95,1366.5,1386,1383.65,1380.12,26590,36697490.95,17047,64.11
Share1,23-Jun-16,1383.65,1374,1385,1361.05,1384.4,1375.25,1374.04,16738,22998684.95,8387,50.11
Share1,24-Jun-16,1375.25,1350,1389,1330,1389,1384.25,1369.78,43011,58915515.15,26360,61.29
Share1,27-Jun-16,1384.25,1383,1391.05,1361.05,1383.15,1384.4,1382.47,85707,118486998.4,54041,63.05
Share1,28-Jun-16,1384.4,1372,1388.85,1370.05,1381.15,1384.3,1382.1,18870,26080187.05,11838,62.73
Share1,29-Jun-16,1384.3,1380.05,1387.5,1372.9,1375.25,1378.3,1380.94,15429,21306559.4,6772,43.89
Share1,30-Jun-16,1378.3,1379.95,1387,1371,1380,1384.4,1383.81,51398,71125090.35,46120,89.73
Share1,1-Jul-16,1384.4,1387,1388.65,1358.55,1364,1367.25,1375.01,23187,31882271.45,15125,65.23
Share1,4-Jul-16,1367.25,1384.9,1388.4,1350.1,1361,1357.1,1363.65,63882,87112674.95,38251,59.88
Share1,5-Jul-16,1357.1,1362,1380,1360,1363.2,1366,1369.01,29150,39906778.75,21443,73.56
Share1,7-Jul-16,1366,1356,1369.8,1341,1341,1349.2,1355.4,12819,17374934.6,6640,51.8
Share1,8-Jul-16,1349.2,1363,1365,1342.05,1363,1357.6,1353.83,22461,30408269.9,11024,49.08
Share1,11-Jul-16,1357.6,1372,1394,1360.6,1388,1389.4,1383.28,40408,55895492.55,25747,63.72
Share1,12-Jul-16,1389.4,1370,1419,1370,1408,1406.75,1405.16,42854,60216864.65,29911,69.8
Share1,13-Jul-16,1406.75,1392.25,1427.75,1392.25,1419,1418.9,1414.76,48344,68395127.15,24270,50.2
Share1,14-Jul-16,1418.9,1420,1424,1410.15,1420,1420.15,1418.95,16166,22938826.15,9866,61.03
Share1,15-Jul-16,1420.15,1424.8,1424.8,1400,1415,1415.4,1414.01,24395,34494711,19495,79.91
Share1,18-Jul-16,1415.4,1400.6,1431,1400.6,1420,1419.15,1418.43,14881,21107650.25,10849,72.91
Share1,19-Jul-16,1419.15,1402.6,1484.85,1402.6,1465.2,1467.25,1458.67,134789,196612379.6,81723,60.63
Share1,20-Jul-16,1467.25,1480,1554.9,1475,1544.8,1538.3,1538.2,252956,389098021.2,149222,58.99
Share1,21-Jul-16,1538.3,1538.95,1564.9,1520,1563,1553,1543.92,50336,77714630.2,31416,62.41
Share1,22-Jul-16,1553,1542.25,1592.95,1535.1,1590,1581.75,1572.44,57054,89713890.6,26198,45.92
Share1,25-Jul-16,1581.75,1577,1581.9,1506.65,1510,1519,1533.75,42748,65564885.05,29532,69.08
Share1,26-Jul-16,1519,1519,1535,1487,1525.4,1523.45,1509.93,44206,66747894.8,27302,61.76
Share1,27-Jul-16,1523.45,1511,1546.35,1502.25,1510,1510.3,1517.98,14076,21367155.1,7711,54.78
Share1,28-Jul-16,1510.3,1529,1544,1514,1529,1535.8,1529.77,11037,16884118.35,7012,63.53
Share1,29-Jul-16,1535.8,1520.65,1570,1520.65,1565,1566.7,1561.98,30912,48283829.4,20207,65.37
Share1,1-Aug-16,1566.7,1580,1580,1530.1,1561,1544.35,1551.44,21794,33812089.55,15209,69.79
Share1,2-Aug-16,1544.35,1533,1569.9,1530,1551.25,1559.7,1542.7,29461,45449405.2,22604,76.73
Share1,3-Aug-16,1559.7,1540,1566.25,1506,1515.05,1521.4,1531.93,20098,30788692.5,13851,68.92
Share1,4-Aug-16,1521.4,1534.7,1541.55,1465,1494,1493.35,1500.78,43889,65867641.75,27751,63.23
Share1,5-Aug-16,1493.35,1513,1532.5,1500,1521.8,1524.95,1518.01,11516,17481445.55,6933,60.2
Share1,8-Aug-16,1524.95,1519,1605.9,1519,1579,1579.5,1577.93,58468,92258536.1,27731,47.43
Share1,9-Aug-16,1579.5,1595,1619,1575,1600,1588.35,1595.57,47855,76355814.15,25565,53.42
Share1,10-Aug-16,1588.35,1590,1602,1526.2,1538,1554.75,1555.24,36609,56935924.35,23133,63.19
Share1,11-Aug-16,1554.75,1568,1600,1546,1585.1,1594.6,1587.73,25953,41206228.35,17916,69.03
Share1,12-Aug-16,1594.6,1615,1626,1533.3,1555,1557.95,1594.05,258494,412052946.3,79062,30.59
Share1,16-Aug-16,1557.95,1578.4,1582,1530,1541,1541.5,1551.31,35828,55580410.1,18231,50.88
Share1,17-Aug-16,1541.5,1550,1570,1528,1540,1534,1543.02,31753,48995567.6,21553,67.88
Share1,18-Aug-16,1534,1539.85,1557,1535.05,1535.05,1543.75,1545.51,16935,26173290.95,11557,68.24
Share1,19-Aug-16,1543.75,1549.85,1555,1530,1534.05,1538.25,1541.35,16254,25053143.45,10525,64.75
Share1,22-Aug-16,1538.25,1532,1552,1510,1523.85,1522.45,1530.62,31038,47507303.1,23353,75.24
Share1,23-Aug-16,1522.45,1529.95,1529.95,1486.15,1510,1504.25,1509.06,23193,34999621.5,18446,79.53
Share1,24-Aug-16,1504.25,1510,1550,1510,1535,1533.3,1532.64,23180,35526527.5,15688,67.68
Share1,25-Aug-16,1533.3,1544.7,1551,1525.1,1538,1540.25,1541.17,20620,31778880.05,11597,56.24
Share1,26-Aug-16,1540.25,1531.1,1555,1528.4,1540,1542.9,1542.3,13360,20605176.4,8704,65.15
Share1,29-Aug-16,1542.9,1549.8,1549.8,1528,1540,1541.8,1539.57,12326,18976713.25,9067,73.56
Share1,30-Aug-16,1541.8,1548,1561.7,1538.15,1561.7,1557.2,1553.25,29959,46533681.35,22084,73.71
Share1,31-Aug-16,1557.2,1559.95,1567.5,1534.2,1548.95,1547.75,1554.5,19368,30107533.55,12753,65.85
Share1,1-Sep-16,1547.75,1554.5,1585,1535.1,1565.1,1569.85,1562.62,20749,32422775.5,12684,61.13
Share1,2-Sep-16,1569.85,1576.8,1658.5,1548.6,1625,1636.5,1634.67,184668,301871028.2,56788,30.75
Share1,6-Sep-16,1636.5,1640,1668.9,1625.1,1642,1644.75,1647.96,54267,89430004.55,19849,36.58
Share1,7-Sep-16,1644.75,1646,1669.9,1607.15,1618.5,1616.9,1632.2,64412,105133090.2,42065,65.31
Share1,8-Sep-16,1616.9,1603.1,1660,1603.1,1639.85,1635.9,1633.7,48396,79064772.25,37996,78.51
Share1,9-Sep-16,1635.9,1646,1670,1590.1,1592.55,1602.85,1629.32,50054,81554111.05,24443,48.83
Share1,12-Sep-16,1602.85,1585,1624.95,1580.15,1616,1616.35,1606.94,36268,58280672.25,18434,50.83
Share1,14-Sep-16,1616.35,1616,1644.6,1601.15,1624,1624.3,1625.33,18535,30125517.05,12461,67.23
Share1,15-Sep-16,1624.3,1633.85,1633.85,1607.1,1630,1622.35,1621.96,12672,20553506.95,8552,67.49
Share1,16-Sep-16,1622.35,1634.7,1761,1625.05,1702,1682.1,1662.91,191449,318362911,140420,73.35
Share1,19-Sep-16,1682.1,1705,1832,1684.05,1731.4,1729.7,1769.32,195331,345602486,43417,22.23
Share1,20-Sep-16,1729.7,1735,1760.3,1691,1696,1697.7,1716.82,49338,84704674.6,18480,37.46
Share1,21-Sep-16,1697.7,1708,1727.9,1679,1686.25,1694.75,1703.78,42421,72276102,22485,53
Share1,22-Sep-16,1694.75,1720,1750,1701.05,1733,1739.55,1731.41,88724,153617708.1,58568,66.01
Share1,23-Sep-16,1739.55,1740,1774,1717.95,1755,1762.2,1747.52,45549,79597683.95,18474,40.56
Share1,26-Sep-16,1762.2,1765.55,1850.3,1755.6,1828,1829,1820.3,174164,317030810,86559,49.7
Share1,27-Sep-16,1829,1845,1851.9,1792.5,1805,1807.2,1824.95,66962,122202154.7,27195,40.61
Share1,28-Sep-16,1807.2,1808,1852.6,1790,1839.9,1844.85,1823.53,46047,83968271.85,18084,39.27
Share1,29-Sep-16,1844.85,1855,1856,1762.25,1815,1812.45,1816.54,52384,95157658.45,23248,44.38
Share1,30-Sep-16,1812.45,1694.3,1765,1647,1661.95,1661.25,1701.66,557779,949150339.2,233270,41.82
Share1,3-Oct-16,1661.25,1700,1720,1665,1673,1678.45,1681.33,83486,140367212.7,39375,47.16
Share1,4-Oct-16,1678.45,1693.1,1697.8,1655.65,1669.15,1671.2,1673.02,63604,106410679.4,41362,65.03
Share1,5-Oct-16,1671.2,1666.25,1696.35,1660.1,1669,1668.3,1671.87,31351,52414797.2,17229,54.96
Share1,6-Oct-16,1668.3,1682.8,1682.8,1650,1663.8,1663.85,1663.29,24012,39938853.95,14665,61.07
Share1,7-Oct-16,1663.85,1677.9,1679.45,1650,1658,1658.75,1662.98,19760,32860392.9,11291,57.14
Share1,10-Oct-16,1658.75,1672.65,1710,1640,1691,1695.6,1667.17,105868,176500321.5,83138,78.53
Share1,13-Oct-16,1695.6,1695,1695,1662,1671,1669.95,1669.56,76837,128283751.5,68895,89.66
Share1,14-Oct-16,1669.95,1678.8,1714.65,1669.45,1695,1696.65,1697.59,41448,70361537.85,26518,63.98
Share1,17-Oct-16,1696.65,1702,1750,1682,1730,1734.4,1716.42,52247,89677550.95,23528,45.03
Share1,18-Oct-16,1734.4,1743.8,1763,1734,1747,1747.5,1746.87,33304,58177596.2,18399,55.25
Share1,19-Oct-16,1747.5,1735.4,1752,1671.75,1675,1684.15,1692.66,127255,215399113.4,97434,76.57
Share1,20-Oct-16,1684.15,1699.8,1703.5,1645,1645.2,1654.1,1676.11,52111,87343638.7,41402,79.45
Share1,21-Oct-16,1654.1,1655,1675,1645,1658,1659,1660.54,29686,49294932.4,17374,58.53
Share1,24-Oct-16,1659,1671.7,1680,1664,1676.8,1675.1,1673.58,19346,32377023.9,13194,68.2
Share1,25-Oct-16,1675.1,1680,1684,1660,1662,1663.65,1668.94,13193,22018353.7,7237,54.85
Share1,26-Oct-16,1663.65,1674,1674,1652,1660,1662.45,1662.83,21000,34919347.75,13533,64.44
Share1,27-Oct-16,1662.45,1669.8,1669.8,1588,1618,1618.4,1617.8,96150,155551087.1,83722,87.07
Share1,28-Oct-16,1618.4,1629.95,1715,1611.15,1637,1631.9,1651.53,200619,331327497.5,73196,36.49
Share1,30-Oct-16,1631.9,1645,1663,1644.1,1657.75,1656.9,1655.11,8531,14119708.4,4367,51.19
Share1,1-Nov-16,1656.9,1662,1671.1,1642,1664,1662.9,1660.59,24545,40759179.95,15289,62.29
Share1,2-Nov-16,1662.9,1662.95,1662.95,1630.05,1636,1636.65,1643.03,18644,30632706.8,10210,54.76
Share1,3-Nov-16,1636.65,1640,1650,1610.15,1620,1618.45,1632.36,12990,21204396.6,7190,55.35
Share1,4-Nov-16,1618.45,1607,1642,1565,1580,1577.4,1592.78,27317,43509864.4,17236,63.1
Share1,7-Nov-16,1577.4,1580,1614,1548.95,1574.6,1565.05,1589.14,60310,95840809.45,53832,89.26
Share1,8-Nov-16,1565.05,1593.95,1604,1572.15,1597,1592.3,1590.34,30033,47762663.95,25305,84.26
Share1,9-Nov-16,1592.3,1484,1670.9,1455,1661,1654.75,1594.49,31991,51009180.6,17862,55.83
Share1,10-Nov-16,1654.75,1637.1,1684.5,1635,1644,1643.1,1654.13,18806,31107476.95,11554,61.44
Share1,11-Nov-16,1643.1,1639.8,1680,1566.6,1640,1643.55,1619.3,144178,233467155.5,30976,21.48
Share1,15-Nov-16,1643.55,1611.55,1760.5,1611.55,1650,1648.65,1682.6,117900,198378798.2,78270,66.39
Share1,16-Nov-16,1648.65,1655,1679.95,1635.9,1650,1649.5,1650.12,27006,44563087.25,21192,78.47
Share1,17-Nov-16,1649.5,1655,1661.6,1602,1615,1617.05,1645.92,30345,49945392.3,27350,90.13
Share1,18-Nov-16,1617.05,1610,1654,1610,1636.8,1641.2,1647.5,50096,82533094.05,35201,70.27
Share1,21-Nov-16,1641.2,1644,1650,1583,1610,1617.7,1610.98,21960,35377188.9,13474,61.36
Share1,22-Nov-16,1617.7,1634,1693.9,1618,1682,1677.7,1661.28,43430,72149394.6,30793,70.9
Share1,23-Nov-16,1677.7,1697.8,1719.7,1670,1705,1702.15,1702.33,36703,62480801.2,13578,36.99
Share1,24-Nov-16,1702.15,1705.35,1739.7,1684.9,1721,1722.1,1719.91,38908,66918382.3,22492,57.81
Share1,25-Nov-16,1722.1,1724,1743.95,1688.05,1688.05,1691.65,1708.06,25714,43921004.35,14844,57.73
Share1,28-Nov-16,1691.65,1690.05,1728,1686,1686,1692.15,1709.31,14187,24249987.5,6763,47.67
Share1,29-Nov-16,1692.15,1686.55,1724.7,1686.55,1706,1712.1,1711.81,35042,59985097.7,27662,78.94
Share1,30-Nov-16,1712.1,1724.7,1726.2,1691,1700,1699.85,1704.03,59770,101849816.1,54102,90.52
Share1,1-Dec-16,1699.85,1700,1715,1652,1668.55,1679.1,1675.42,25416,42582519.55,14804,58.25
Share1,2-Dec-16,1679.1,1705,1710,1671,1672.25,1679.7,1686.01,29162,49167374.1,13666,46.86
Share1,5-Dec-16,1679.7,1681,1712,1681,1696.75,1702.95,1701.5,23627,40201257.75,14819,62.72
Share1,6-Dec-16,1702.95,1710,1738,1690,1695,1690.8,1694.59,70074,118746503.8,61809,88.21
Share1,7-Dec-16,1690.8,1700,1708,1666,1675,1675.25,1683.11,10451,17590192.2,5444,52.09
Share1,8-Dec-16,1675.25,1680,1689,1666.2,1680,1680.45,1680.87,16014,26917504.35,11746,73.35
Share1,9-Dec-16,1680.45,1665,1696,1665,1668,1675.35,1675.79,4887,8189594.05,3319,67.91
